MST code,Citizenship,Dept,Dept name,App. Status,Time App. Started,Date App. Started,Transfer date,App year,Inquiry
050000376252,Russian Federation,DSPS,"Doctoral School of Political Science, Public Policy, and International Relations",Submitted via Web (PAID),14:36:57,2023-01-30,2023-02-02,2023/24,OHWEB271120
050000161430,United States of America,PHIL,Department of Philosophy,Submitted via Web (PAID),20:07:32,2022-11-13,2023-01-31,2023/24,
050000161430,United States of America,PHIL,Department of Philosophy,Submitted via Web (PAID),20:06:25,2022-11-13,2023-01-31,2023/24,
050000164183,Georgia,DSPS,"Doctoral School of Political Science, Public Policy, and International Relations",Submitted via Web (PAID),09:41:20,2023-01-24,2023-02-03,2023/24,
050000164831,Hungary,ENVS,Department of Environmental Sciences and Policy,Submitted via Web (PAID),22:06:43,2023-01-27,2023-02-06,2023/24,
050000164831,Hungary,SOCL,Department of Sociology and Social Anthropology,Submitted via Web (PAID),22:33:15,2023-01-16,2023-02-06,2023/24,
050000179371,Liberia,DSPS,"Doctoral School of Political Science, Public Policy, and International Relations",Submitted via Web (PAID),08:50:55,2023-01-22,2023-02-02,2023/24,
050000179371,Liberia,DSPS,"Doctoral School of Political Science, Public Policy, and International Relations",Submitted via Web (PAID),22:01:08,2022-11-08,2023-02-02,2023/24,
050000180969,Poland,HIST,Department of History,Submitted via Web (PAID),22:40:07,2023-01-31,2023-02-06,2023/24,
,Azerbaijan,POLS,Department of Political Science,Submitted via Web (PAID),10:09:27,2023-01-28,2023-02-03,2023/24,
050000208453,"Iran, Islamic Republic of",MEDS,Department of Medieval Studies,Submitted via Web (PAID),23:30:55,2023-01-31,2023-02-06,2023/24,
000000020681,Russian Federation,HIST,Department of History,Submitted via Web (PAID),14:27:59,2023-01-06,2023-01-18,2023/24,
000000020681,Russian Federation,SOCL,Department of Sociology and Social Anthropology,Submitted via Web (PAID),12:50:21,2023-01-17,2023-01-18,2023/24,
050000228874,Ethiopia,ENVS,Department of Environmental Sciences and Policy,Submitted via Web (PAID),10:16:56,2022-12-23,2023-01-06,2023/24,CEUHOME
050000229789,United States of America,MEDS,Department of Medieval Studies,Submitted via Web (PAID),00:13:04,2022-10-18,2023-02-06,2023/24,OHHU171117
050000230691,United States of America,SOCL,Department of Sociology and Social Anthropology,Submitted via Web (PAID),08:53:22,2023-06-06,2023-06-06,2023/24,CEUHOME
050000230691,United States of America,DSPS,"Doctoral School of Political Science, Public Policy, and International Relations",Submitted via Web (PAID),18:54:05,2022-09-23,2022-09-26,2023/24,CEUHOME
050000230691,United States of America,DSPS,"Doctoral School of Political Science, Public Policy, and International Relations",Submitted via Web (PAID),16:44:12,2023-08-16,2023-08-16,2023/24,CEUHOME
050000236188,United States of America,POLS,Department of Political Science,Submitted via Web (PAID),22:22:39,2023-01-05,2023-02-02,2023/24,
050000236315,Belarus,ENVS,Department of Environmental Sciences and Policy,Submitted via Web (PAID),04:55:14,2023-01-05,2023-01-10,2023/24,
050000236315,Belarus,DNDS,Department of Network and Data Science,Submitted via Web (PAID),01:43:53,2023-01-11,2023-01-25,2023/24,
050000236315,Belarus,DNDS,Department of Network and Data Science,Submitted via Web (PAID),11:40:26,2023-01-28,2023-02-01,2023/24,
050000236367,Ghana,ENVS,Department of Environmental Sciences and Policy,Submitted via Web (PAID),13:49:51,2022-12-20,2022-12-27,2023/24,
050000259582,Zimbabwe,ENVS,Department of Environmental Sciences and Policy,Submitted via Web (PAID),15:39:35,2023-01-24,2023-01-31,2023/24,
050000260818,Kenya,ENVS,Department of Environmental Sciences and Policy,Submitted via Web (PAID),10:07:59,2022-12-13,2023-01-12,2023/24,
050000265184,India,ENVS,Department of Environmental Sciences and Policy,Submitted via Web (PAID),10:52:43,2022-12-31,2023-01-25,2023/24,
050000268027,Pakistan,LEGS,Department of Legal Studies,Submitted via Web (PAID),20:01:23,2023-01-23,2023-02-03,2023/24,
050000268027,Pakistan,LEGS,Department of Legal Studies,Submitted via Web (PAID),20:03:00,2023-01-23,2023-02-04,2023/24,
050000268095,Ghana,DOPP,Department of Public Policy,Submitted via Web (PAID),09:06:08,2023-01-09,2023-01-10,2023/24,
050000269665,Hungary,SOCL,Department of Sociology and Social Anthropology,Submitted via Web (PAID),00:12:26,2022-11-24,2023-02-02,2023/24,
050000271991,Ukraine,DSPS,"Doctoral School of Political Science, Public Policy, and International Relations",Submitted via Web (PAID),14:03:02,2023-01-31,2023-02-03,2023/24,
050000274330,India,ENVS,Department of Environmental Sciences and Policy,Submitted via Web (PAID),19:56:49,2023-01-31,2023-02-01,2023/24,
050000274330,India,ENVS,Department of Environmental Sciences and Policy,Submitted via Web (PAID),14:24:14,2022-11-19,2023-02-01,2023/24,
050000275611,Pakistan,ENVS,Department of Environmental Sciences and Policy,Submitted via Web (PAID),13:45:20,2023-01-29,2023-01-31,2023/24,
050000276064,Ghana,INTR,Department of International Relations,Submitted via Web (PAID),23:58:49,2022-12-28,2023-01-03,2023/24,
050000276064,Ghana,PHIL,Department of Philosophy,Submitted via Web (PAID),12:57:45,2022-10-16,2022-12-29,2023/24,
050000277636,Ethiopia,PHIL,Department of Philosophy,Submitted via Web (PAID),15:36:58,2023-01-24,2023-01-25,2023/24,
050000277636,Ethiopia,PHIL,Department of Philosophy,Submitted via Web (PAID),15:00:09,2022-11-18,2023-01-25,2023/24,
050000279207,Hungary,HIST,Department of History,Submitted via Web (PAID),23:07:25,2023-01-13,2023-02-06,2023/24,
050000166212,Slovakia,INTR,Department of International Relations,Submitted via Web (PAID),12:53:37,2022-09-27,2023-02-01,2023/24,
050000174612,Russian Federation,SOCL,Department of Sociology and Social Anthropology,Submitted via Web (PAID),12:09:29,2023-01-23,2023-01-24,2023/24,
050000281706,China,ENVS,Department of Environmental Sciences and Policy,Submitted via Web (PAID),20:43:40,2023-02-01,2023-02-08,2023/24,
,India,ECBS,Department of Economics and Business,Submitted via Web (PAID),07:01:10,2022-12-27,2022-12-28,2023/24,
050000287581,Bangladesh,ECBS,Department of Economics and Business,Submitted via Web (PAID),10:42:59,2023-01-06,2023-01-11,2023/24,
050000287837,Philippines,DSPS,"Doctoral School of Political Science, Public Policy, and International Relations",Submitted via Web (PAID),09:05:59,2023-01-08,2023-01-24,2023/24,
050000289739,Bangladesh,ECBS,Department of Economics and Business,Submitted via Web (PAID),21:40:52,2023-01-03,2023-02-02,2023/24,
050000289739,Bangladesh,DOPP,Department of Public Policy,Submitted via Web (PAID),22:23:54,2023-01-05,2023-02-02,2023/24,
050000289739,Bangladesh,DOPP,Department of Public Policy,Submitted via Web (PAID),22:05:04,2023-01-10,2023-02-02,2023/24,
050000289739,Bangladesh,DOPP,Department of Public Policy,Submitted via Web (PAID),21:58:33,2023-01-07,2023-02-02,2023/24,
050000289739,Bangladesh,DOPP,Department of Public Policy,Submitted via Web (PAID),20:28:49,2023-01-03,2023-01-30,2023/24,
,Egypt,LEGS,Department of Legal Studies,Submitted via Web (PAID),19:50:46,2023-01-06,2023-01-12,2023/24,
050000289924,Hungary,SOCL,Department of Sociology and Social Anthropology,Submitted via Web (PAID),13:49:21,2023-01-04,2023-02-03,2023/24,
050000281806,Turkmenistan,GENS,Department of Gender Studies,Submitted via Web (PAID),11:40:54,2023-01-31,2023-02-03,2023/24,CFAOSF
050000281806,Turkmenistan,INTR,Department of International Relations,Submitted via Web (PAID),13:57:20,2023-01-27,2023-02-03,2023/24,CFAOSF
050000290003,Egypt,INTR,Department of International Relations,Submitted via Web (PAID),16:59:08,2022-10-07,2023-02-03,2023/24,
050000290250,Colombia,DOPP,Department of Public Policy,Submitted via Web (PAID),17:24:23,2023-01-20,2023-02-08,2023/24,
050000290342,Malaysia,ENVS,Department of Environmental Sciences and Policy,Submitted via Web (PAID),12:01:31,2023-01-29,2023-01-30,2023/24,
050000290342,Malaysia,ENVS,Department of Environmental Sciences and Policy,Submitted via Web (PAID),16:38:00,2023-01-11,2023-01-30,2023/24,
050000290801,Ghana,INTR,Department of International Relations,Submitted via Web (PAID),06:12:09,2022-09-25,2022-09-29,2023/24,
050000290801,Ghana,POLS,Department of Political Science,Submitted via Web (PAID),03:49:39,2022-09-25,2022-09-29,2023/24,
050000290801,Ghana,DOPP,Department of Public Policy,Submitted via Web (PAID),06:20:40,2022-09-25,2022-09-29,2023/24,
050000291704,Hungary,DNDS,Department of Network and Data Science,Submitted via Web (PAID),14:04:59,2022-12-11,2023-02-02,2023/24,
050000293637,Pakistan,ENVS,Department of Environmental Sciences and Policy,Submitted via Web (PAID),06:08:06,2023-01-01,2023-01-15,2023/24,
050000293777,Romania,DSPS,"Doctoral School of Political Science, Public Policy, and International Relations",Submitted via Web (PAID),11:14:34,2023-01-15,2023-01-27,2023/24,
050000293777,Romania,DSPS,"Doctoral School of Political Science, Public Policy, and International Relations",Submitted via Web (PAID),11:52:29,2022-11-13,2023-01-26,2023/24,
050000298133,Italy,ENVS,Department of Environmental Sciences and Policy,Submitted via Web (PAID),15:58:15,2023-01-13,2023-01-24,2023/24,
050000288322,Botswana,DOPP,Department of Public Policy,Submitted via Web (PAID),11:31:19,2023-01-29,2023-01-31,2023/24,SOPPSTUDYP
050000288322,Botswana,DOPP,Department of Public Policy,Submitted via Web (PAID),10:10:38,2023-01-13,2023-02-01,2023/24,SOPPSTUDYP
050000288322,Botswana,DOPP,Department of Public Policy,Submitted via Web (PAID),14:28:00,2023-01-11,2023-01-31,2023/24,SOPPSTUDYP
050000298781,Kyrgyzstan,SOCL,Department of Sociology and Social Anthropology,Submitted via Web (PAID),01:29:21,2023-01-28,2023-02-02,2023/24,
050000300147,Turkey,CDCR,Department of Cognitive Science,Submitted via Web (PAID),17:49:30,2022-11-02,2023-02-06,2023/24,ECONLANDING
050000301020,Bosnia and Herzegovina,HIST,Department of History,Submitted via Web (PAID),08:08:52,2023-02-01,2023-02-01,2023/24,
050000301020,Bosnia and Herzegovina,NATI,Nationalism Studies Program,Submitted via Web (PAID),21:55:38,2023-01-28,2023-01-31,2023/24,
050000301020,Bosnia and Herzegovina,POLS,Department of Political Science,Submitted via Web (PAID),00:54:03,2023-01-31,2023-01-31,2023/24,
050000298220,Hungary,ECBS,Department of Economics and Business,Submitted via Web (PAID),13:58:14,2023-01-05,2023-02-07,2023/24,ECBS
050000297133,United States of America,DSPS,"Doctoral School of Political Science, Public Policy, and International Relations",Submitted via Web (PAID),16:57:32,2023-01-30,2023-02-06,2023/24,CEUHOME
050000304647,Pakistan,ENVS,Department of Environmental Sciences and Policy,Submitted via Web (PAID),11:44:25,2023-01-29,2023-01-31,2023/24,
050000304647,Pakistan,DSPS,"Doctoral School of Political Science, Public Policy, and International Relations",Submitted via Web (PAID),12:00:09,2023-01-29,2023-01-31,2023/24,
050000306783,Ghana,ENVS,Department of Environmental Sciences and Policy,Submitted via Web (PAID),11:36:20,2022-12-19,2022-12-20,2023/24,
050000306862,Afghanistan,DNDS,Department of Network and Data Science,Submitted via Web (PAID),08:16:53,2023-01-18,2023-02-01,2023/24,
050000307003,Peru,LEGS,Department of Legal Studies,Submitted via Web (PAID),13:41:45,2023-01-31,2023-02-01,2023/24,
050000307003,Peru,LEGS,Department of Legal Studies,Submitted via Web (PAID),11:29:53,2023-02-01,2023-02-01,2023/24,
050000307293,Peru,LEGS,Department of Legal Studies,Submitted via Web (PAID),09:49:35,2023-02-01,2023-02-01,2023/24,
050000307293,Peru,LEGS,Department of Legal Studies,Submitted via Web (PAID),00:05:16,2023-01-30,2023-02-01,2023/24,
050000307293,Peru,LEGS,Department of Legal Studies,Submitted via Web (PAID),19:13:34,2023-02-01,2023-02-01,2023/24,
050000307375,Tunisia,SOCL,Department of Sociology and Social Anthropology,Submitted via Web (PAID),19:55:22,2023-02-01,2023-02-02,2023/24,
050000308987,Albania,RGPP,Roma Graduate Preparation Program,Submitted via Web (PAID),14:03:16,2023-03-25,2023-03-28,2023/24,
050000308998,Serbia,RGPP,Roma Graduate Preparation Program,Submitted via Web (PAID),12:05:58,2023-02-14,2023-03-06,2023/24,LAC-SER
050000309970,Ghana,DOPP,Department of Public Policy,Submitted via Web (PAID),22:16:02,2022-09-24,2022-10-03,2023/24,
050000309970,Ghana,INTR,Department of International Relations,Submitted via Web (PAID),00:50:13,2022-09-25,2022-10-05,2023/24,
050000309970,Ghana,INTR,Department of International Relations,Submitted via Web (PAID),00:40:37,2022-09-25,2022-10-05,2023/24,
050000309970,Ghana,POLS,Department of Political Science,Submitted via Web (PAID),00:30:32,2022-09-25,2022-10-05,2023/24,
050000309970,Ghana,POLS,Department of Political Science,Submitted via Web (PAID),23:56:48,2022-09-24,2022-10-05,2023/24,
050000389579,Ukraine,SPEP,Special and Extension Programs,Downloaded / Application Started,10:16:56,2023-09-19,,2023/24,
050000389579,Ukraine,HIST,Department of History,Submitted via Web (PAID),18:59:41,2023-02-01,2023-02-03,2023/24,
050000389579,Ukraine,HIST,Department of History,Submitted via Web (PAID),00:33:35,2023-01-22,2023-02-03,2023/24,
050000389579,Ukraine,HIST,Department of History,Submitted via Web (PAID),18:47:04,2023-02-01,2023-02-03,2023/24,
050000312310,Albania,DOPP,Department of Public Policy,Submitted via Web (PAID),11:56:44,2023-01-20,2023-02-01,2023/24,
050000312570,Turkey,RGPP,Roma Graduate Preparation Program,Submitted via Web (PAID),18:05:24,2023-03-17,2023-03-17,2023/24,
050000312570,Turkey,SLTG,Source Language Teaching Group,Submitted via Web (PAID),14:36:20,2023-09-25,2023-09-25,2023/24,
050000303227,India,PHIL,Department of Philosophy,Submitted via Web (PAID),18:03:12,2023-01-15,2023-01-30,2023/24,
050000313779,Nigeria,POLS,Department of Political Science,Submitted via Web (PAID),17:35:27,2022-10-04,2022-10-18,2023/24,
050000314375,Kazakhstan,GENS,Department of Gender Studies,Submitted via Web (PAID),21:50:31,2022-12-31,2023-01-29,2023/24,
050000314375,Kazakhstan,DSPS,"Doctoral School of Political Science, Public Policy, and International Relations",Submitted via Web (PAID),00:04:39,2022-10-19,2023-01-05,2023/24,
